"TIMESTAMP","RECORD","Fc_wpl","LE_wpl","Hs","Hc","tau","u_star","cov_Uz_Uz","cov_Uz_Ux","cov_Uz_Uy","cov_Uz_co2","cov_Uz_h2o","cov_Uz_Ts","cov_Ux_Ux","cov_Ux_Uy","cov_Ux_co2","cov_Ux_h2o","cov_Ux_Ts","cov_Uy_Uy","cov_Uy_co2","cov_Uy_h2o","cov_Uy_Ts","cov_co2_co2","cov_h2o_h2o","cov_Ts_Ts","Uz_Avg","Ux_Avg","Uy_Avg","co2_mean","h2o_Avg","Ts_mean","rho_a_mean","press_mean","panel_temp_Avg","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","batt_volt_Avg","std_wnd_dir","n_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","Fc_irga","LE_irga","co2_wpl_LE","co2_wpl_H","h2o_wpl_LE","h2o_wpl_H","h2o_hmp_mean","t_hmp_mean"
"TS","RN","mg/(m^2 s)","W/m^2","W/m^2","W/m^2","kg/(m s^2)","m/s","(m/s)^2","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(mg/m^3)^2","(g/m^3)^2","C^2","m/s","m/s","m/s","mg/m^3","g/m^3","C","kg/m^3","kPa","C","degrees","degrees","m/s","m/s","V","degrees","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","unitless","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","g/m^3","C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2007-06-02 08:30:00",2235,-0.03695112,0.4504201,0.1276856,0.09988674,0.0006471302,0.02324207,0.001309638,0.0002947004,0.000452726,-0.03742664,0.0001755119,0.0001060904,0.007250943,0.003964167,0.6510282,-0.0009418484,-0.00220195,0.006569939,0.6345909,-0.0004388356,-0.002115156,300.5131,0.001449381,0.004523309,-0.08292634,-0.3252897,-0.1816201,897.7778,9.299946,19.49234,1.19796,100.8169,17.93366,150.8239,-150.8239,0.3776607,0.3725577,12.1953,9.415599,3000,0,0,0,0,0,0,0,0,0,0,75,-0.03742664,0.428249,0.0002145792,0.0002609433,0.008679219,0.0134919,14.88237,18.1756
"2007-06-02 08:35:00",2236,0.001073898,0.8156689,-0.3297846,-0.3775453,0.0013062,0.03301857,0.001994755,0.0007053355,-0.0008313213,0.001638641,0.000341649,-0.0002739769,0.00762337,0.00950156,0.5934521,0.001163982,-0.003486322,0.0295992,0.9347872,-0.001610491,-0.006295404,142.1347,0.004128158,0.004046498,-0.1025992,-0.5542284,-0.4613134,891.7666,9.253268,19.53068,1.1981,100.8272,17.8925,140.2276,-140.2276,0.7297848,0.7210958,12.19253,8.838406,3000,0,0,0,0,0,0,0,0,0,0,75,0.001638641,0.8336235,0.0004148523,-0.0009795952,0.0168968,-0.03485131,14.88581,18.17104
"2007-06-02 08:40:00",2237,0.08837292,-1.547574,-1.099611,-1.000964,0.002339785,0.04419482,0.00426654,0.001942916,0.0002000004,0.09159757,-0.0005748825,-0.0009136561,0.01555133,0.002891474,0.2543049,-0.005717618,-0.002845838,0.01362844,-0.02827222,-0.001230165,-0.0005912702,33.93117,0.004930899,0.004623691,-0.1035832,-0.4390139,-0.2688583,872.6285,9.005315,19.57425,1.197934,100.8291,17.86086,148.5161,-148.5161,0.5256556,0.5147989,12.18944,11.6408,3000,0,0,0,0,0,0,0,0,0,0,79.798,0.09159757,-1.402713,-0.000683187,-0.002541472,-0.02847863,-0.116382,14.90799,18.2134
"2007-06-02 08:45:00",2238,0.508651,-5.535486,-4.042776,-3.691297,0.00581657,0.06967456,0.003096001,0.003364529,0.003499507,0.5210981,-0.002052349,-0.00335844,0.05646414,0.05886802,6.168144,0.01303036,-0.02402023,0.08098862,7.583203,0.02229064,-0.02776735,1049.886,0.02352749,0.02054268,-0.04352367,0.2520935,0.2584542,919.7129,9.041362,19.37812,1.19817,100.8288,17.83731,314.2862,45.71378,0.4670362,0.3610398,12.18677,38.58827,3000,0,0,0,0,0,0,0,0,0,0,77.11,0.5210981,-5.00773,-0.002569981,-0.009877076,-0.1013123,-0.4264434,14.85918,18.16273
"2007-06-02 08:50:00",2239,-0.3988643,-1.47054,0.4495141,0.5364572,0.002360732,0.04438089,0.001910569,0.0003335751,0.001941211,-0.3995248,-0.000609762,0.0003733061,0.005905261,-0.0009998869,-0.8733869,0.0008348817,0.004330698,0.007960968,-0.6696155,-2.930227E-005,0.000850034,347.55,0.003525288,0.009254858,-0.07340242,0.0648515,0.02598067,904.0128,9.042912,19.34416,1.198546,100.832,17.81013,338.1681,21.83192,0.1177204,0.0698621,12.18464,51.64614,3000,0,0,0,0,0,0,0,0,0,0,75.678,-0.3995248,-1.487819,-0.0007502579,0.001410785,-0.03001793,0.04729762,14.82365,18.08646
"2007-06-02 08:55:00",2240,0.02069852,1.269662,-0.1249062,-0.201146,0.004738332,0.06287186,0.001158355,0.003004677,-0.002568482,0.0205941,0.0005153498,-0.0001037165,0.04402808,-0.03199691,-0.03403874,0.01337302,0.003313876,0.02840262,-0.4503742,-0.007151889,0.001061352,200.7939,0.00831755,0.006525307,-0.0794135,-0.1696993,0.03060367,898.4841,8.841114,19.25599,1.198707,100.8371,17.77388,190.2229,169.7771,0.2683664,0.1724367,12.18161,48.4281,3000,0,0,0,0,0,0,0,0,0,0,81,0.0205941,1.257454,0.0006301178,-0.0005256938,0.02533095,-0.01312306,14.80302,18.06549
"2007-06-02 09:00:00",2241,0.2565385,-8.893242,-3.02048,-2.471053,0.002988484,0.04992247,0.003792158,-0.002302074,0.0009548726,0.2673098,-0.003446624,-0.002507228,0.01541577,-0.007708882,-0.4341349,0.01054764,0.002930471,0.00818997,0.3171844,-0.006989573,-0.002347815,190.261,0.01548183,0.01223271,-0.1124933,-0.4532027,0.1153796,907.0319,8.880593,19.11614,1.199109,100.8289,17.73214,194.2834,165.7166,0.4728667,0.4676592,12.17898,8.500267,3000,0,0,0,0,0,0,0,0,0,0,76.066,0.2673098,-8.409761,-0.004252484,-0.00651882,-0.1682381,-0.3152423,14.70667,17.95919
"2007-06-02 09:05:00",2242,0.08556134,-5.228783,-1.149593,-0.8291398,0.000853493,0.02667528,0.00207177,-0.0001541849,-0.0006946654,0.09024377,-0.002053022,-0.0009539791,0.02086885,0.01277436,1.949206,0.01284533,-0.01528015,0.01317816,1.634488,0.01011811,-0.01174205,386.4913,0.0166691,0.01760793,-0.07336,-0.1434023,0.2121655,899.9569,8.871865,19.03694,1.199449,100.8326,17.69754,235.9453,124.0547,0.3058729,0.2560828,12.17586,32.6803,3000,0,0,0,0,0,0,0,0,0,0,77.404,0.09024377,-5.009374,-0.002512458,-0.002169977,-0.09984497,-0.1195636,14.65748,17.89497
"2007-06-02 09:10:00",2243,0.02226171,0.8042991,0.3068217,0.2570232,0.002581532,0.04638501,0.0005956922,0.002039021,0.0006867629,0.02121925,0.0003104671,0.0002545309,0.01920089,0.01092157,-0.04054394,0.01364508,0.004932744,0.01495833,0.2378586,0.01962533,0.003895054,41.27466,0.0310496,0.002928772,-0.06587683,0.08982275,0.1340086,891.4735,8.91958,18.96201,1.199837,100.8311,17.66217,303.833,56.16699,0.2228038,0.1613271,12.17301,42.54798,3000,0,0,0,0,0,0,0,0,0,0,75.276,0.02121925,0.7575397,0.0003762167,0.0006662363,0.01501585,0.03174346,14.58245,17.80855
"2007-06-02 09:15:00",2244,-0.0783842,-1.145502,0.1983922,0.2667372,0.0003875774,0.01797246,0.0006482556,0.0002813134,-0.0001587382,-0.07850616,-0.0004685923,0.0001645727,0.006940741,-0.003302542,-0.6982211,-0.002179073,0.005157453,0.01162273,0.8701477,0.002027835,-0.003348819,149.2683,0.003449233,0.006778474,-0.1026789,-0.2581081,-0.3068543,879.6022,8.69841,19.0253,1.199895,100.8322,17.61624,130.0686,-130.0686,0.4175028,0.400973,12.17041,16.11717,3000,0,0,0,0,0,0,0,0,0,0,80.988,-0.07850616,-1.143365,-0.0005602397,0.0006822006,-0.02266168,0.02052444,14.58192,17.79749
